Plate,Well,Compound_Category,Compound,Concentration
2013002139,A-4,Actin,CytD,1
2013002149,A-4,Actin,CytD,1
2013002158,A-4,Actin,CytD,1
2013002166,A-4,Actin,CytD,1
2013002171,A-4,Actin,CytD,1
2013002139,A-22,Actin,LatA,1
2013002149,A-22,Actin,LatA,1
2013002158,A-22,Actin,LatA,1
2013002166,A-22,Actin,LatA,1
2013002171,A-22,Actin,LatA,1
2013002139,A-21,AuroraB,ZM447439,1
2013002149,A-21,AuroraB,ZM447439,1
2013002158,A-21,AuroraB,ZM447439,1
2013002166,A-21,AuroraB,ZM447439,1
2013002171,A-21,AuroraB,ZM447439,1
2013002139,A-18,DNA,CPT,1
2013002149,A-18,DNA,CPT,1
2013002158,A-18,DNA,CPT,1
2013002166,A-18,DNA,CPT,1
2013002171,A-18,DNA,CPT,1
2013002139,A-6,DNA,Eloxatin,1
2013002149,A-6,DNA,Eloxatin,1
2013002158,A-6,DNA,Eloxatin,1
2013002166,A-6,DNA,Eloxatin,1
2013002171,A-6,DNA,Eloxatin,1
2013002139,A-13,DNA,Etoposide,1
2013002149,A-13,DNA,Etoposide,1
2013002158,A-13,DNA,Etoposide,1
2013002166,A-13,DNA,Etoposide,1
2013002171,A-13,DNA,Etoposide,1
2013002139,B-10,DNA,Gemcitabine,1
2013002149,B-10,DNA,Gemcitabine,1
2013002158,B-10,DNA,Gemcitabine,1
2013002166,B-10,DNA,Gemcitabine,1
2013002171,B-10,DNA,Gemcitabine,1
2013002139,B-4,ER,BFA,1
2013002149,B-4,ER,BFA,1
2013002158,B-4,ER,BFA,1
2013002166,B-4,ER,BFA,1
2013002171,B-4,ER,BFA,1
2013002139,B-22,ER,Tunicamycin,1
2013002149,B-22,ER,Tunicamycin,1
2013002158,B-22,ER,Tunicamycin,1
2013002166,B-22,ER,Tunicamycin,1
2013002171,B-22,ER,Tunicamycin,1
2013002139,B-13,HDAC,Apicidin,1
2013002149,B-13,HDAC,Apicidin,1
2013002158,B-13,HDAC,Apicidin,1
2013002166,B-13,HDAC,Apicidin,1
2013002171,B-13,HDAC,Apicidin,1
2013002139,A-9,HDAC,Oxamflatin,1
2013002149,A-9,HDAC,Oxamflatin,1
2013002158,A-9,HDAC,Oxamflatin,1
2013002166,A-9,HDAC,Oxamflatin,1
2013002171,A-9,HDAC,Oxamflatin,1
2013002139,B-6,HDAC,Panobinostat,1
2013002149,B-6,HDAC,Panobinostat,1
2013002158,B-6,HDAC,Panobinostat,1
2013002166,B-6,HDAC,Panobinostat,1
2013002171,B-6,HDAC,Panobinostat,1
2013002139,B-18,HDAC,SAHA,1
2013002149,B-18,HDAC,SAHA,1
2013002158,B-18,HDAC,SAHA,1
2013002166,B-18,HDAC,SAHA,1
2013002171,B-18,HDAC,SAHA,1
2013002139,A-14,HDAC,TSA,1
2013002149,A-14,HDAC,TSA,1
2013002158,A-14,HDAC,TSA,1
2013002166,A-14,HDAC,TSA,1
2013002171,A-14,HDAC,TSA,1
2013002139,B-19,Hsp90,17-AAG,1
2013002149,B-19,Hsp90,17-AAG,1
2013002158,B-19,Hsp90,17-AAG,1
2013002166,B-19,Hsp90,17-AAG,1
2013002171,B-19,Hsp90,17-AAG,1
2013002139,B-12,Hsp90,17-DMAG,1
2013002149,B-12,Hsp90,17-DMAG,1
2013002158,B-12,Hsp90,17-DMAG,1
2013002166,B-12,Hsp90,17-DMAG,1
2013002171,B-12,Hsp90,17-DMAG,1
2013002139,A-8,Hsp90,AUY922,1
2013002149,A-8,Hsp90,AUY922,1
2013002158,A-8,Hsp90,AUY922,1
2013002166,A-8,Hsp90,AUY922,1
2013002171,A-8,Hsp90,AUY922,1
2013002139,B-7,Hsp90,Geldanamycin,1
2013002149,B-7,Hsp90,Geldanamycin,1
2013002158,B-7,Hsp90,Geldanamycin,1
2013002166,B-7,Hsp90,Geldanamycin,1
2013002171,B-7,Hsp90,Geldanamycin,1
2013002139,A-15,Hsp90,SNX-2112,1
2013002149,A-15,Hsp90,SNX-2112,1
2013002158,A-15,Hsp90,SNX-2112,1
2013002166,A-15,Hsp90,SNX-2112,1
2013002171,A-15,Hsp90,SNX-2112,1
2013002139,B-15,MT,Colchicine,1
2013002149,B-15,MT,Colchicine,1
2013002158,B-15,MT,Colchicine,1
2013002166,B-15,MT,Colchicine,1
2013002171,B-15,MT,Colchicine,1
2013002139,A-16,MT,Docetaxel,1
2013002149,A-16,MT,Docetaxel,1
2013002158,A-16,MT,Docetaxel,1
2013002166,A-16,MT,Docetaxel,1
2013002171,A-16,MT,Docetaxel,1
2013002139,A-11,MT,EpothiloneB,1
2013002149,A-11,MT,EpothiloneB,1
2013002158,A-11,MT,EpothiloneB,1
2013002166,A-11,MT,EpothiloneB,1
2013002171,A-11,MT,EpothiloneB,1
2013002139,B-20,MT,Nocodazole,1
2013002149,B-20,MT,Nocodazole,1
2013002158,B-20,MT,Nocodazole,1
2013002166,B-20,MT,Nocodazole,1
2013002171,B-20,MT,Nocodazole,1
2013002139,B-8,MT,Vinblastine,1
2013002149,B-8,MT,Vinblastine,1
2013002158,B-8,MT,Vinblastine,1
2013002166,B-8,MT,Vinblastine,1
2013002171,B-8,MT,Vinblastine,1
2013002139,A-3,PLK,BI2536,1
2013002149,A-3,PLK,BI2536,1
2013002158,A-3,PLK,BI2536,1
2013002166,A-3,PLK,BI2536,1
2013002171,A-3,PLK,BI2536,1
2013002139,B-11,Proteasome,AclacinomycinA,1
2013002149,B-11,Proteasome,AclacinomycinA,1
2013002158,B-11,Proteasome,AclacinomycinA,1
2013002166,B-11,Proteasome,AclacinomycinA,1
2013002171,B-11,Proteasome,AclacinomycinA,1
2013002139,A-7,Proteasome,Epoxomycin,1
2013002149,A-7,Proteasome,Epoxomycin,1
2013002158,A-7,Proteasome,Epoxomycin,1
2013002166,A-7,Proteasome,Epoxomycin,1
2013002171,A-7,Proteasome,Epoxomycin,1
2013002139,A-19,Proteasome,MG-115,1
2013002149,A-19,Proteasome,MG-115,1
2013002158,A-19,Proteasome,MG-115,1
2013002166,A-19,Proteasome,MG-115,1
2013002171,A-19,Proteasome,MG-115,1
2013002139,A-12,Proteasome,MG132,1
2013002149,A-12,Proteasome,MG132,1
2013002158,A-12,Proteasome,MG132,1
2013002166,A-12,Proteasome,MG132,1
2013002171,A-12,Proteasome,MG132,1
2013002139,B-16,Proteasome,PS-341,1
2013002149,B-16,Proteasome,PS-341,1
2013002158,B-16,Proteasome,PS-341,1
2013002166,B-16,Proteasome,PS-341,1
2013002171,B-16,Proteasome,PS-341,1
2013002139,A-10,mTOR,AZD8055,1
2013002149,A-10,mTOR,AZD8055,1
2013002158,A-10,mTOR,AZD8055,1
2013002166,A-10,mTOR,AZD8055,1
2013002171,A-10,mTOR,AZD8055,1
2013002139,B-14,mTOR,Deforolimus,1
2013002149,B-14,mTOR,Deforolimus,1
2013002158,B-14,mTOR,Deforolimus,1
2013002166,B-14,mTOR,Deforolimus,1
2013002171,B-14,mTOR,Deforolimus,1
2013002139,A-17,mTOR,INK128,1
2013002149,A-17,mTOR,INK128,1
2013002158,A-17,mTOR,INK128,1
2013002166,A-17,mTOR,INK128,1
2013002171,A-17,mTOR,INK128,1
2013002139,B-9,mTOR,Rapamycin,1
2013002149,B-9,mTOR,Rapamycin,1
2013002158,B-9,mTOR,Rapamycin,1
2013002171,B-9,mTOR,Rapamycin,1
2013002149,A-5,mTOR,Torin1,1
2013002158,A-5,mTOR,Torin1,1
2013002166,A-5,mTOR,Torin1,1
2013002171,A-5,mTOR,Torin1,1
