dataset	model	top_n	fold	modality	f1
LINCS	MLP	10	1	CP	0.14489658654026075
LINCS	MLP	10	1	GE	0.04861142393801522
LINCS	MLP	10	1	EarlyFusion	0.19712942450742976
LINCS	MLP	10	1	LateFusion	0.15013617596810308
LINCS	MLP	10	2	CP	0.1766697168423766
LINCS	MLP	10	2	GE	0.08978776274627248
LINCS	MLP	10	2	EarlyFusion	0.1704075431920783
LINCS	MLP	10	2	LateFusion	0.18382783561453012
LINCS	MLP	10	3	CP	0.17912733193769978
LINCS	MLP	10	3	GE	0.02070920532458994
LINCS	MLP	10	3	EarlyFusion	0.15436804479880784
LINCS	MLP	10	3	LateFusion	0.17677954363524362
LINCS	MLP	10	4	CP	0.13125645485434925
LINCS	MLP	10	4	GE	0.006318747490967482
LINCS	MLP	10	4	EarlyFusion	0.1244040880647384
LINCS	MLP	10	4	LateFusion	0.1300408762908811
LINCS	MLP	10	5	CP	0.15765675821904246
LINCS	MLP	10	5	GE	0.03222822130550837
LINCS	MLP	10	5	EarlyFusion	0.11415020974376777
LINCS	MLP	10	5	LateFusion	0.1267664139960581
LINCS	MLP	20	1	CP	0.14489658654026075
LINCS	MLP	20	1	GE	0.0836545932046687
LINCS	MLP	20	1	EarlyFusion	0.11069390587074877
LINCS	MLP	20	1	LateFusion	0.1525850098216872
LINCS	MLP	20	2	CP	0.1766697168423766
LINCS	MLP	20	2	GE	0.15705095882804979
LINCS	MLP	20	2	EarlyFusion	0.16772439277061676
LINCS	MLP	20	2	LateFusion	0.19270388230548408
LINCS	MLP	20	3	CP	0.17912733193769978
LINCS	MLP	20	3	GE	0.15855418018557974
LINCS	MLP	20	3	EarlyFusion	0.16648792384086503
LINCS	MLP	20	3	LateFusion	0.18753645087035006
LINCS	MLP	20	4	CP	0.13125645485434925
LINCS	MLP	20	4	GE	0.09172087976435803
LINCS	MLP	20	4	EarlyFusion	0.12498907994400552
LINCS	MLP	20	4	LateFusion	0.1365159049126897
LINCS	MLP	20	5	CP	0.15765675821904246
LINCS	MLP	20	5	GE	0.03131444304488858
LINCS	MLP	20	5	EarlyFusion	0.13361834066696554
LINCS	MLP	20	5	LateFusion	0.13986504075926337
LINCS	MLP	30	1	CP	0.14489658654026075
LINCS	MLP	30	1	GE	0.10978617062388928
LINCS	MLP	30	1	EarlyFusion	0.16369564242252543
LINCS	MLP	30	1	LateFusion	0.15116638575874775
LINCS	MLP	30	2	CP	0.1766697168423766
LINCS	MLP	30	2	GE	0.17572184308932862
LINCS	MLP	30	2	EarlyFusion	0.17578213921511016
LINCS	MLP	30	2	LateFusion	0.19336309066847987
LINCS	MLP	30	3	CP	0.17912733193769978
LINCS	MLP	30	3	GE	0.1743526591276923
LINCS	MLP	30	3	EarlyFusion	0.1455842481715098
LINCS	MLP	30	3	LateFusion	0.18539644831774096
LINCS	MLP	30	4	CP	0.13125645485434925
LINCS	MLP	30	4	GE	0.058612824406637204
LINCS	MLP	30	4	EarlyFusion	0.12998802749437446
LINCS	MLP	30	4	LateFusion	0.13091540243243718
LINCS	MLP	30	5	CP	0.15765675821904246
LINCS	MLP	30	5	GE	0.04407877909455197
LINCS	MLP	30	5	EarlyFusion	0.06716172713382612
LINCS	MLP	30	5	LateFusion	0.14450057107518477
LINCS	MLP	50	1	CP	0.14489658654026075
LINCS	MLP	50	1	GE	0.07306069457968191
LINCS	MLP	50	1	EarlyFusion	0.1961584142170544
LINCS	MLP	50	1	LateFusion	0.1354065014171233
LINCS	MLP	50	2	CP	0.1766697168423766
LINCS	MLP	50	2	GE	0.1271281435303466
LINCS	MLP	50	2	EarlyFusion	0.17595878960221886
LINCS	MLP	50	2	LateFusion	0.19197107844783745
LINCS	MLP	50	3	CP	0.17912733193769978
LINCS	MLP	50	3	GE	0.09791266538507062
LINCS	MLP	50	3	EarlyFusion	0.1334975328766563
LINCS	MLP	50	3	LateFusion	0.1786099795044645
LINCS	MLP	50	4	CP	0.13125645485434925
LINCS	MLP	50	4	GE	0.10899858127142516
LINCS	MLP	50	4	EarlyFusion	0.11108991070514403
LINCS	MLP	50	4	LateFusion	0.13451926895914212
LINCS	MLP	50	5	CP	0.15765675821904246
LINCS	MLP	50	5	GE	0.12760980790500173
LINCS	MLP	50	5	EarlyFusion	0.18279507289518024
LINCS	MLP	50	5	LateFusion	0.1570763294166949
LINCS	MLP	100	1	CP	0.14489658654026075
LINCS	MLP	100	1	GE	0.10666322243408731
LINCS	MLP	100	1	EarlyFusion	0.15140982441165868
LINCS	MLP	100	1	LateFusion	0.1695822071787225
LINCS	MLP	100	2	CP	0.1766697168423766
LINCS	MLP	100	2	GE	0.19270126028434498
LINCS	MLP	100	2	EarlyFusion	0.14251530044062624
LINCS	MLP	100	2	LateFusion	0.20801011149285856
LINCS	MLP	100	3	CP	0.17912733193769978
LINCS	MLP	100	3	GE	0.17013399035251478
LINCS	MLP	100	3	EarlyFusion	0.16964788081205812
LINCS	MLP	100	3	LateFusion	0.1884564927253484
LINCS	MLP	100	4	CP	0.13125645485434925
LINCS	MLP	100	4	GE	0.12681896829055422
LINCS	MLP	100	4	EarlyFusion	0.10687735980063455
LINCS	MLP	100	4	LateFusion	0.1401659440426795
LINCS	MLP	100	5	CP	0.15765675821904246
LINCS	MLP	100	5	GE	0.21458043871580232
LINCS	MLP	100	5	EarlyFusion	0.18408097596582
LINCS	MLP	100	5	LateFusion	0.21854746238232728
LINCS	MLP	200	1	CP	0.14489658654026075
LINCS	MLP	200	1	GE	0.10033054886485931
LINCS	MLP	200	1	EarlyFusion	0.1395354515177565
LINCS	MLP	200	1	LateFusion	0.14771187122744536
LINCS	MLP	200	2	CP	0.1766697168423766
LINCS	MLP	200	2	GE	0.14278228041520094
LINCS	MLP	200	2	EarlyFusion	0.20349837413144178
LINCS	MLP	200	2	LateFusion	0.18472719991407135
LINCS	MLP	200	3	CP	0.17912733193769978
LINCS	MLP	200	3	GE	0.14943631476532238
LINCS	MLP	200	3	EarlyFusion	0.1219072265669899
LINCS	MLP	200	3	LateFusion	0.1793973370577613
LINCS	MLP	200	4	CP	0.13125645485434925
LINCS	MLP	200	4	GE	0.13451984605278763
LINCS	MLP	200	4	EarlyFusion	0.1461705983348928
LINCS	MLP	200	4	LateFusion	0.1435463984996474
LINCS	MLP	200	5	CP	0.15765675821904246
LINCS	MLP	200	5	GE	0.14816511253171424
LINCS	MLP	200	5	EarlyFusion	0.25155635416007005
LINCS	MLP	200	5	LateFusion	0.2042062845979134
LINCS	MLP	500	1	CP	0.14489658654026075
LINCS	MLP	500	1	GE	0.11641119450700314
LINCS	MLP	500	1	EarlyFusion	0.16795294159356566
LINCS	MLP	500	1	LateFusion	0.17426157182054272
LINCS	MLP	500	2	CP	0.1766697168423766
LINCS	MLP	500	2	GE	0.15105923602963048
LINCS	MLP	500	2	EarlyFusion	0.17995955786139192
LINCS	MLP	500	2	LateFusion	0.19103471312586992
LINCS	MLP	500	3	CP	0.17912733193769978
LINCS	MLP	500	3	GE	0.11454006995115684
LINCS	MLP	500	3	EarlyFusion	0.16803380259221842
LINCS	MLP	500	3	LateFusion	0.17599867683159237
LINCS	MLP	500	4	CP	0.13125645485434925
LINCS	MLP	500	4	GE	0.12934788293338956
LINCS	MLP	500	4	EarlyFusion	0.13115700961638782
LINCS	MLP	500	4	LateFusion	0.1397694136165609
LINCS	MLP	500	5	CP	0.15765675821904246
LINCS	MLP	500	5	GE	0.042139852786540484
LINCS	MLP	500	5	EarlyFusion	0.16894701828182848
LINCS	MLP	500	5	LateFusion	0.13819243181205124
LINCS	MLP	978	1	CP	0.14489658654026075
LINCS	MLP	978	1	GE	0.12736031032754785
LINCS	MLP	978	1	EarlyFusion	0.1007749397629437
LINCS	MLP	978	1	LateFusion	0.18088545423622396
LINCS	MLP	978	2	CP	0.1766697168423766
LINCS	MLP	978	2	GE	0.16191223423246365
LINCS	MLP	978	2	EarlyFusion	0.2179152707822048
LINCS	MLP	978	2	LateFusion	0.19096585331289384
LINCS	MLP	978	3	CP	0.17912733193769978
LINCS	MLP	978	3	GE	0.12223518569526468
LINCS	MLP	978	3	EarlyFusion	0.15074016850827132
LINCS	MLP	978	3	LateFusion	0.17122831589395815
LINCS	MLP	978	4	CP	0.13125645485434925
LINCS	MLP	978	4	GE	0.14013651830265478
LINCS	MLP	978	4	EarlyFusion	0.11299042985615297
LINCS	MLP	978	4	LateFusion	0.14261607420390857
LINCS	MLP	978	5	CP	0.15765675821904246
LINCS	MLP	978	5	GE	0.018591473765992947
LINCS	MLP	978	5	EarlyFusion	0.19612564259420517
LINCS	MLP	978	5	LateFusion	0.11508851627963997
